Field Label,API Name,Object,Where Used,SF Field Help Text (from Setup),Current Wizard Help Text (hardcoded in LWC),Match?,Setup Link
Qualität der Handover-Dokumentation,Handover_Documentation_Quality__c,Task,ACM Popup,(none),"Bewerten Sie die Qualität der Handover-Dokumentation basierend auf dem Internal Handover Call.",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Task/FieldsAndRelationships/00Nbh000004IrrZEAS/view
Kommentare zur Qualität,Handover_Quality_Comments__c,Task,ACM Popup,(none),"Geben Sie Ihr Feedback zur Handover-Dokumentation ein (max. 3 Sätze).",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Task/FieldsAndRelationships/00Nbh000004Ipg7EAC/view
Documentation Status,Documentation_Status__c,Customer_360__c,C360 Record / Background,Aktueller Status der Handover-Dokumentation.,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004F1kfEAC/view
Timestamp Documentation Completed,Timestamp_Documentation_Completed__c,Customer_360__c,C360 Record / Background,Zeitstempel der Fertigstellung der Handover-Dokumentation.,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004F1kgEAC/view
ACM Assignment Date,ACM_Assignment_Date__c,Customer_360__c,C360 Record / Background,Zeitstempel der ACM-Zuweisung für SLA-Tracking.,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0aXEAS/view
Timestamp ACM Assignment,Timestamp_ACM_Assignment__c,Account,Background (Flow populated),"Zeitstempel, wann der Account-Inhaber zu einem ACM geändert wurde.",(not in wizard UI - Flow populated),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00Nbh000004LOBVEA4/view
IHC Scheduled Date,IHC_Scheduled_Date__c,Customer_360__c,C360 Record / Background,Zeitstempel der Terminvereinbarung für das interne Handover-Meeting.,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0ahEAC/view
IHC Meeting Date,IHC_Meeting_Date__c,Customer_360__c,C360 Record / Background,Zeitstempel der Durchführung des internen Handover-Meetings.,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0agEAC/view
Handover Documentation Quality,Handover_Documentation_Quality__c,Customer_360__c,C360 Record / Background,"Bewertung der Qualität der Handover-Dokumentation durch den ACM nach dem Internal Handover Call.",(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004LDSzEAO/view
Handover Quality Comments,Handover_Quality_Comments__c,Customer_360__c,C360 Record / Background,Kommentare des ACM zur Qualität der Handover-Dokumentation (max. 3 Sätze).,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004LDT0EAO/view
Time to Documentation Completion,Time_To_Documentation_Completion__c,Customer_360__c,C360 Record / Background,Time from Contract Received to Documentation Completed (business minutes).,(not in wizard UI - Apex calculated),N/A,N/A
Time to ACM Assignment,Time_To_ACM_Assignment__c,Customer_360__c,C360 Record / Background,Time from Contract Received to ACM Assignment (business minutes).,(not in wizard UI - Apex calculated),N/A,N/A
Time: ACM to IHC Completed (min),Time_ACM_To_IHC_Completed__c,Customer_360__c,C360 Record / Background,Geschäftsminuten von ACM-Zuweisung bis IHC abgeschlossen.,(not in wizard UI - Apex calculated),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004LOBWEA4/view
Opportunity,Opportunity__c,Customer_360__c,C360 Record / Background,(none),(not in wizard UI - Flow populated),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004KI89EAG/view
Current Wizard Step,Current_Wizard_Step__c,Customer_360__c,Background,The current or last step the user was on in the Handover Wizard,(not in wizard UI - backend only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004IlXdEAK/view
Timestamp Closed Won Time,Timestamp_Closed_Won_Time__c,Opportunity,Background (SLA reference),"(none)",(not in wizard UI - used for time calculations),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Opportunity/FieldsAndRelationships/00N9L000000OWPeUAO/view
Pilot Opportunity,Pilot_Opportunity__c,Opportunity,Background (Flow filter),"(none)",(not in wizard UI - Flow filter condition),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Opportunity/FieldsAndRelationships/00N9L000000O7DzUAK/view
